DE508C1;Krefeld;3827;3914;3941;4005;3930
DE509C1;Oberhausen;4025;4177;4263;4351;4318
DE510C1;Lübeck;2929;3085;3139;3208;3176
DE511C1;Hagen;2954;3011;3043;3023;2907
DE513C1;Kassel;3898;4108;4217;4169;3997
DE514C1;Hamm;2207;2168;2083;2014;1857
DE515C1;Herne;4174;4205;4217;4112;3912
DE516C1;Solingen;3529;3748;3865;4089;4107
DE517C1;Osnabrück;2960;3141;3200;3294;3266
DE518C1;Ludwigshafen am Rhein;4673;4863;4926;4924;4845
DE519C1;Leverkusen;3127;3303;3388;3505;3507
DE520C1;Oldenburg (Oldenburg);2984;3129;3155;3216;3168
DE521C1;Neuss;3024;3044;3037;3030;2945
DE522C1;Heidelberg;4498;4738;4852;4993;4978
DE523C1;Paderborn;2740;3005;3104;3276;3181
DE524C1;Würzburg;3822;3993;4062;3995;3787
DE525C1;Recklinghausen;3131;3334;3395;3480;3391
DE526C1;Wolfsburg;1872;1883;1872;1850;1781
DE527C1;Bremerhaven;3495;3606;3625;3642;3548
DE528C1;Bottrop;2726;3005;3117;3283;3251
DE529C1;Heilbronn;3997;4261;4378;4488;4459
DE530C1;Remscheid;3134;3116;3073;3064;2944
DE531C1;Offenbach am Main;5337;5532;5652;5677;5619
DE532C1;Ulm;3046;3255;3335;3390;3328
DE533C1;Pforzheim;4482;4704;4802;4944;4909
DE534C1;Ingolstadt;2727;3284;3669;4157;4433
DE535C1;Gera;2493;2578;2540;2508;2319
DE536C1;Salzgitter;1777;1826;1830;1837;1785
DE537C1;Reutlingen;3280;3596;3736;3883;3858
DE538C1;Fürth;3192;3350;3445;3523;3513
DE539C1;Cottbus;2058;2368;2566;2903;3069
DE540C1;Siegen;2067;2084;2049;2052;1942
DE541C1;Bergisch Gladbach;2610;2767;2851;2988;2994
DE542C1;Hildesheim;3182;3274;3294;3301;3221
DE543C1;Witten;2218;2230;2213;2190;2074
DE544C1;Zwickau;2447;2560;2578;2618;2557
DE545C1;Erlangen;3074;3199;3272;3318;3297
DE546C1;Wuppertal;3613;3596;3577;3522;3413
DE547C1;Jena;3536;3693;3681;3663;3410
DK001K2;København;6056;5855;5927;5732;5580
DK002C1;Århus;2992;2898;2900;2749;2588
DK003C1;Odense;2220;2149;2120;2034;1949
DK004C2;Aalborg;1538;1542;1534;1517;1470
EE001C1;Tallinn;4024;4244;4049;4237;4139
EE002C1;Tartu;3388;3624;3467;3673;3597
EE003C1;Narva;3060;3266;3125;3312;3232
EL001K1;Athina;16312;15636;14539;13787;12919
EL002C1;Thessaloniki;21718;22818;21688;22898;23143
EL003C1;Pátra;6087;7636;7209;7938;7910
EL004C1;Irakleio;7881;9539;9370;10140;10236
EL005C1;Larisa;6221;6959;6555;7266;7557
EL006C1;Volos;6933;7690;7253;8098;8551
EL007C1;Ioannina;5035;6398;6144;7225;7943
EL008C1;Kavala;4331;5296;5088;5536;5552
